ANCHORNAME,ADDRESS,CITY,STATECODE,ZIP5,ZIP4,LATITUDE,LONGITUDE,CAICAT,BBSERVICE,PublicWifi,URL,FULLFIPSID,CAIID,CAIType,ConProvide,ConType,ConMedium,ConSpeed,geometry,index_right,BlockCode,DBA,FRN,TechCode,Consumer,MaxAdDn,MaxAdUp,MaxDnTier,MaxUpTier,Shape_Leng,Shape_Area,has_coverage
"BASIS Independent Fremont, Upper School",39706 Mission Boulevard,Fremont,CA,94539,,37.559076,-121.954404,1,U,U,U,060014421001000,1611766159220,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-121.95440346799995 37.55907614000006 0),,,,,,,,,,,,,False
Mills College Children's School at Northeastern University,5000 Macarthur Boulevard,Oakland,CA,94613,,37.78225,-122.187791,1,U,U,U,060014078002008,1612596906550,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-122.18778989199996 37.782249884000066 0),,,,,,,,,,,,,False
Challenger School - Newark,39600 Cedar Boulevard,Newark,CA,94560,,37.52195,-121.998701,1,U,U,U,060014446021016,1612347091230,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-121.99869992499998 37.52194996700007 0),,,,,,,,,,,,,False
St. Edward Parish,"5788 Thornton Avenue, Bldg. D",Newark,CA,94560,,37.539412,-122.028575,1,U,U,U,060014444001007,1612346972920,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-122.02857376299994 37.539412250000055 0),,,,,,,,,,,,,False
Julia Morgan School for Girls,"5000 Macarthur Boulevard, Pmb 9966",Oakland,CA,94613,,37.78225,-122.187791,1,U,U,U,060014078002008,1612597099520,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-122.18778989199996 37.782249884000066 0),,,,,,,,,,,,,False
Corpus Christi Elementary,1 Estates Drive,Piedmont,CA,94611,,37.81386,-122.213701,1,U,U,U,060014261003011,1612756972630,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-122.21369993199994 37.81385987300007 0),,,,,,,,,,,,,False
St. Leander,451 Davis Street,San Leandro,CA,94577,,37.7242207835,-122.159339226,1,U,U,U,060014326011013,1612916970640,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-122.15933922599999 37.72422078400007 0),,,,,,,,,,,,,False
Carondelet High School,1133 Winton Drive,Concord,CA,94518,,37.933362,-122.032141,1,U,U,U,060133382012006,7617546933340,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-122.03213993399999 37.93336214200008 0),,,,,,,,,,,,,False
The Seven Hills School,975 North San Carlos Drive,Walnut Creek,CA,94598,,37.9221245053,-122.048890291,1,U,U,U,060133382041003,7618126967620,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-122.04889028999997 37.922124506000046 0),,,,,,,,,,,,,False
arcata christian school,1700  Union Street,Arcata,CA,95521,,40.8738596894,-124.075373897,1,U,U,U,060230010022012,12626796989900,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-124.07537389699996 40.873859690000074 0),,,,,,,,,,,,,False
Our Lady of Guadalupe Academy,535 Rockwood Avenue,Calexico,CA,92231,,32.670204,-115.496291,1,U,U,U,060250121012010,13630996968200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-115.49629011999997 32.670204314000046 0),,,,,,,,,,,,,False
Our Lady of Perpetual Help,124 Columbus Street,Bakersfield,CA,93305,,35.397489,-118.999788,1,U,U,U,060290007021011,15633216974100,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.99978729199995 35.39748949900007 0),,,,,,,,,,,,,False
Turner Christian Academy,"6501 Schirra Court, Suite 400",Bakersfield,CA,93313,,35.3158959859,-119.075486357,1,U,U,U,060290031312007,15633626202200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-119.07548635599994 35.315895986000044 0),,,,,,,,,,,,,False
Bakersfield Christian High School,12775 Stockdale Highway,Bakersfield,CA,93314,,35.3519285586,-119.143320159,1,U,U,U,060290032031000,15635296934000,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-119.14332015899998 35.351928559000044 0),,,,,,,,,,,,,False
Garces Memorial High,2800 Loma Linda Drive,Bakersfield,CA,93305,,35.4004599327,-118.999315068,1,U,U,U,060290007021011,15635296934000_4,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.99931506899998 35.400459933000036 0),,,,,,,,,,,,,False
Heritage Oak School,20915 Schout Road,Tehachapi,CA,93561,,35.1178620708,-118.502900949,1,U,U,U,060290060062018,15638267086100,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.50290094899998 35.11786207100005 0),,,,,,,,,,,,,False
Hanford Christian School,11948 Flint Avenue,Hanford,CA,93230,,36.3727319933,-119.671873411,1,U,U,U,060310001003081,16639906967800,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-119.67187341199997 36.37273199400005 0),,,,,,,,,,,,,False
Paraclete High School,42145 N. 30Th St. W,Lancaster,CA,93536,,34.6481629068,-118.184933464,1,U,U,U,060379010071011,19642466935500,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.18493346399998 34.64816290600004 0),,,,,,,,,,,,,False
Lutheran High School La Verne,3960 Fruit Street,La Verne,CA,91750,,34.115304165,-117.76043083,1,U,U,U,060374016012021,19643296935200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-117.76043082899997 34.115304165000055 0),,,,,,,,,,,,,False
Providence High School,511 S. Buena Vista Street,Burbank,CA,91505,,34.1543505303,-118.32672115,1,U,U,U,060373116012001,19643376942300,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.32672114999997 34.154350530000045 0),,,,,,,,,,,,,False
Saint Finbar School,2120 W. Olive Avenue,Burbank,CA,91506,,34.1633610764,-118.326338684,1,U,U,U,060373117003009,19643376963800,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.32633868399995 34.16336107700005 0),,,,,,,,,,,,,False
St. Robert Bellarmine Elementary,154 North 5Th Street,Burbank,CA,91501,,34.184768,-118.305599,1,U,U,U,060373107043005,19643376964600,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.30559765699996 34.18476779200006 0),,,,,,,,,,,,,False
Vistamar School,737 Hawaii Street,El Segundo,CA,90245,,33.9046645977,-118.380575219,1,U,U,U,060379800131035,19643526133400,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.38057521799999 33.90466459800007 0),,,,,,,,,,,,,False
St. Louise de Marillac School,1728 E. Covina Blvd.,Covina,CA,91724,,34.0983915254,-117.853947903,1,U,U,U,060374037033006,19643786964200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-117.85394790199996 34.09839152500007 0),,,,,,,,,,,,,False
Academy of Sports Science,915 W. Foothill Blvd. C635,Claremont,CA,91711,,34.1071,-117.732138,1,U,U,U,060374018022031,19643946159300,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-117.73213677999996 34.10710000700004 0),,,,,,,,,,,,,False
The Webb Schools,1175 West Baseline Road,Claremont,CA,91711,,34.1257669337,-117.739575819,1,U,U,U,060374002051062,19643946936200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-117.73957581899998 34.12576693400007 0),,,,,,,,,,,,,False
Jubilee Christian School,763 N. Sunset Ave,West Covina,CA,91790,,34.0858381752,-117.935285603,1,U,U,U,060374053012009,19644366130700,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-117.93528560399994 34.08583817500005 0),,,,,,,,,,,,,False
Downey Christian School,8219 Florence Ave /10335 Paramount Blvd,Downey,CA,90241,,33.952121347,-118.1257577,1,U,U,U,060375506022005,19644516202000,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.12575769999995 33.95212134700006 0),,,,,,,,,,,,,False
Calvary Chapel Christian,12808 Woodruff Avenue,Downey,CA,90242,,33.915734394,-118.115391546,1,U,U,U,060375518021001,19644516906900,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.11539154599996 33.915734394000026 0),,,,,,,,,,,,,False
ECF Kayne Eras Center,5350 Machado Road,Culver City,CA,90230,,33.9981718095,-118.396300391,1,U,U,U,060377026006017,19644446934700,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.39630039099995 33.99817180900004 0),,,,,,,,,,,,,False
Lancaster Baptist School,4020 East Lancaster Boulevard,Lancaster,CA,93535,,34.69724,-118.058788,1,U,U,U,060379003011031,19644777067200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.05878651999996 34.69724007100007 0),,,,,,,,,,,,,False
