CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
37103710000000,0691030,No Data,Active,San Diego,San Diego County Office of Education,No Data,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7319,CA,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7319,CA,(858) 292-3500,No Data,(858) 292-3653,http://www.sdcoe.net,No Data,No Data,No Data,No Data,No Data,0.0,County Office of Education (COE),No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32.771468,-117.17930,Gloria,Ciriza,2024-07-08,No Data
37103710106369,0691030,11123,Closed,San Diego,San Diego County Office of Education,Monarch Elementary Community Day,808 West Cedar Street,808 West Cedar St.,San Diego,92101,CA,"6401 Linda Vista Road, Room 216","6401 Linda Vista Rd., Rm. 216",San Diego,92111-7399,CA,No Data,No Data,No Data,Information Not Available,2003-07-01 00:00:00,2009-06-30 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),69,District Community Day Schools,COMMDAY,Community Day School,ELEM,Elementary,K-6,2-6,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-09-29,No Data
37103710108548,0691030,11385,Active,San Diego,San Diego County Office of Education,Iftin Charter,5465 El Cajon Boulevard,5465 El Cajon Blvd.,San Diego,92115-3620,CA,5465 El Cajon Boulevard,5465 El Cajon Blvd.,San Diego,92115-3620,CA,(619) 265-2411,No Data,(619) 265-2484,http://www.iftincharter.net,2006-09-05 00:00:00,No Data,Y,0680,Directly funded,0.0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601527,32.757908,-117.07814,Maslah,Yussuf,2023-02-09,N
37103710114678,0691030,12083,Active,San Diego,San Diego County Office of Education,High Tech High Chula Vista,1945 Discovery Falls Drive,1945 Discovery Falls Dr.,Chula Vista,91915-2037,CA,2861 Womble Road,2861 Womble Rd.,San Diego,92106-6025,CA,(619) 591-2500,No Data,(619) 591-2503,http://www.hightechhigh.org,2007-08-27 00:00:00,No Data,Y,0756,Directly funded,0.0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,0602061,32.622230,-116.95962,Edrick,Macalaguim,2025-07-01,N
37103710114694,0691030,12064,Active,San Diego,San Diego County Office of Education,High Tech High North County,1420 San Marcos Boulevard,1420 San Marcos Blvd.,San Marcos,92078-4017,CA,2861 Womble Road,2861 Womble Rd.,San Diego,92106-6025,CA,(760) 759-2700,No Data,(619) 243-5050,http://www.hightechhigh.org,2007-09-10 00:00:00,No Data,Y,0756,Directly funded,0.0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,0601818,33.131486,-117.20153,Joseph,Davidson,2025-07-01,N
37103710115857,0691030,No Data,Closed,San Diego,San Diego County Office of Education,Hope Region Community Day,808 West Cedar Street,808 West Cedar St.,San Diego,92101,CA,808 West Cedar Street,808 West Cedar St.,San Diego,92101,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2009-06-30 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),69,District Community Day Schools,COMMDAY,Community Day School,ELEMHIGH,Elementary-High Combination,7-12,6-12,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2009-07-27,No Data
37103710115915,0691030,12062,Closed,San Diego,San Diego County Office of Education,East Region Community,8374 Hercules Street,8374 Hercules St.,La Mesa,91942-2901,CA,8374 Hercules Street,8374 Hercules St.,La Mesa,91942-2901,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2011-06-30 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,No Data,No Data,No Data,N,No Data,32.774561,-117.01547,No Data,No Data,2013-07-02,No Data
37103710115923,0691030,12089,Closed,San Diego,San Diego County Office of Education,South Region Community,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950-3202,CA,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950-3202,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2012-06-29 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,ELEMHIGH,Elementary-High Combination,P-12,6-12,No Data,No Data,N,No Data,32.675751,-117.10703,No Data,No Data,2013-07-02,No Data
37103710115931,0691030,12068,Closed,San Diego,San Diego County Office of Education,Hope Region Community,808 West Cedar Street,808 West Cedar St.,San Diego,92101-2411,CA,808 West Cedar Street,808 West Cedar St.,San Diego,92101-2411,CA,No Data,No Data,No Data,No Data,2007-07-02 00:00:00,2013-01-25 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,K-12,7-12,No Data,No Data,N,No Data,32.721946,-117.17053,No Data,No Data,2013-07-02,No Data
37103710115949,0691030,12102,Closed,San Diego,San Diego County Office of Education,Metro Region Community,210 West Ash Street,210 West Ash St.,San Diego,92101-3409,CA,210 West Ash Street,210 West Ash St.,San Diego,92101-3409,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2012-06-29 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,ELEMHIGH,Elementary-High Combination,P-12,6-12,No Data,No Data,N,No Data,32.719848,-117.16510,No Data,No Data,2013-07-02,No Data
37103710115956,0691030,12079,Closed,San Diego,San Diego County Office of Education,North Region Community,255 Pico Avenue,255 Pico Ave.,San Marcos,92069-3711,CA,255 Pico Avenue,255 Pico Ave.,San Marcos,92069-3711,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2011-06-30 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,ELEMHIGH,Elementary-High Combination,7-12,6-12,No Data,No Data,N,No Data,33.142336,-117.16574,No Data,No Data,2013-07-02,No Data
37103710115964,0691030,12115,Closed,San Diego,San Diego County Office of Education,Mountain Region Court,957 Forrest Gate Road,957 Forrest Gate Rd.,Campo,91906-3101,CA,957 Forrest Gate Road,957 Forrest Gate Rd.,Campo,91906-3101,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,K-12,7-12,No Data,No Data,N,No Data,32.606046,-116.47176,No Data,No Data,2013-07-15,No Data
37103710115972,0691030,12136,Closed,San Diego,San Diego County Office of Education,Mesa Region Court,2801 Meadow Lark Drive,2801 Meadow Lark Dr.,San Diego,92123-2701,CA,2801 Meadow Lark Drive,2801 Meadow Lark Dr.,San Diego,92123-2701,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,ELEMHIGH,Elementary-High Combination,K-12,6-12,No Data,No Data,N,No Data,32.793374,-117.15428,No Data,No Data,2013-07-15,No Data
37103710115980,0691030,No Data,Closed,San Diego,San Diego County Office of Education,Hope Region Court,808 West Cedar Street,808 West Cedar St.,San Diego,92101-2411,CA,808 West Cedar Street,808 West Cedar St.,San Diego,92101-2411,CA,No Data,No Data,No Data,Information Not Available,2008-01-02 00:00:00,2008-01-12 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,ELEMHIGH,Elementary-High Combination,K-12,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2008-05-02,No Data
37103710115998,0691030,12159,Active,San Diego,San Diego County Office of Education,San Pasqual Academy,17701 San Pasqual Valley Road,17701 San Pasqual Valley Rd.,Escondido,92025-5301,CA,17701 San Pasqual Valley Road,17701 San Pasqual Valley Rd.,Escondido,92025-5301,CA,(760) 233-6003,No Data,(760) 233-6018,http://www.sanpasqualacademy.org,2007-07-01 00:00:00,No Data,N,No Data,No Data,0.0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,9-12,9-12,C,N,N,No Data,33.090580,-116.95009,David,Sosa,2025-05-23,N
37103710116004,0691030,No Data,Closed,San Diego,San Diego County Office of Education,South Region Court,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950-3202,CA,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950-3202,CA,No Data,No Data,No Data,Information Not Available,2008-01-02 00:00:00,2008-07-01 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,ELEMHIGH,Elementary-High Combination,K-12,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2008-11-14,No Data
37103710116012,0691030,12121,Closed,San Diego,San Diego County Office of Education,Metro Region Court,210 West Ash Street,210 West Ash St.,San Diego,92101-3409,CA,210 West Ash Street,210 West Ash St.,San Diego,92101-3409,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,K-12,10-12,No Data,No Data,N,No Data,32.719848,-117.16510,No Data,No Data,2013-07-15,No Data
37103710116020,0691030,12148,Closed,San Diego,San Diego County Office of Education,East Region Court,8374 Hercules Street,8374 Hercules St.,San Diego,91942-2901,CA,8374 Hercules Street,8374 Hercules St.,San Diego,91942-2901,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2013-01-18 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,ELEMHIGH,Elementary-High Combination,K-12,5-12,No Data,No Data,N,No Data,32.774561,-117.01547,No Data,No Data,2013-07-02,No Data
37103710116038,0691030,12110,Closed,San Diego,San Diego County Office of Education,North Region Court,255 Pico Avenue,255 Pico Ave.,San Marcos,92069-3711,CA,255 Pico Avenue,255 Pico Ave.,San Marcos,92069-3711,CA,No Data,No Data,No Data,Information Not Available,2007-07-02 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,K-12,9-12,No Data,No Data,N,No Data,33.142336,-117.16574,No Data,No Data,2013-07-15,No Data
37103710119271,0691030,12388,Active,San Diego,San Diego County Office of Education,High Tech Middle North County,1460 West San Marcos Boulevard,1460 West San Marcos Blvd.,San Marcos,92078-4017,CA,2861 Womble Road,2861 Womble Rd.,San Diego,92106-6025,CA,(760) 759-2750,No Data,(760) 759-2779,http://www.hightechhigh.org,2009-08-31 00:00:00,No Data,Y,0756,Directly funded,0.0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,0601622,33.131433,-117.20232,Kelly,Jacob,2025-07-01,N
37103710120485,0691030,12550,Active,San Diego,San Diego County Office of Education,Davila Day,540 G Street,540 G St.,Chula Vista,91910-3604,CA,540 G Street,540 G St.,Chula Vista,91910-3604,CA,(619) 427-5626,No Data,(619) 427-0561,No Data,2009-07-27 00:00:00,No Data,N,No Data,No Data,0.0,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,ELEM,Elementary,P-8,K-6,N,N,Y,No Data,32.635041,-117.08832,Cheryl,Kaler,2023-08-22,N
37103710120493,0691030,12496,Active,San Diego,San Diego County Office of Education,Monarch,1625 Newton Avenue,1625 Newton Ave.,San Diego,92113-1012,CA,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7399,CA,(619) 652-4100,No Data,(619) 233-3458,http://www.monarchschools.org,2009-07-01 00:00:00,No Data,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,ELEMHIGH,Elementary-High Combination,K-12,K-12,C,N,Y,No Data,32.702375,-117.15045,Dyane,Plumly,2023-02-09,N
37103710123042,0691030,12642,Active,San Diego,San Diego County Office of Education,High Tech Middle Chula Vista,1949 Discovery Falls Drive,1949 Discovery Falls Dr.,Chula Vista,91915-2037,CA,2861 Womble Road,2861 Womble Rd.,San Diego,92106-6025,CA,(619) 591-2530,No Data,(619) 591-2533,http://www.hightechhigh.org,2011-09-06 00:00:00,No Data,Y,0756,Directly funded,0.0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,0601800,32.619241,-116.95858,Rod,Buenviaje,2025-07-01,N
37103710123059,0691030,12726,Active,San Diego,San Diego County Office of Education,High Tech Elementary Chula Vista,1949 Discovery Falls Drive,1949 Discovery Falls Dr.,Chula Vista,91915-2037,CA,2861 Womble Road,2861 Womble Rd.,San Diego,92106-6025,CA,(619) 591-2550,5084,(619) 591-2553,http://www.hightechhigh.org,2011-09-06 00:00:00,No Data,Y,0756,Directly funded,0.0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,0602097,32.619241,-116.95858,Judy,Asiong,2025-07-01,N
37103710124321,0691030,12866,Active,San Diego,San Diego County Office of Education,Howard Gardner Community Charter,647 E Street,647 E St.,Chula Vista,91910-2119,CA,647 E Street,647 E St.,Chula Vista,91910-2119,CA,(619) 934-0300,No Data,(619) 207-0300,http://www.hgcschool.org,2012-08-01 00:00:00,No Data,Y,1308,Directly funded,0.0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,Y,0601520,32.641093,-117.09543,Kat,Shaw,2024-08-21,N
37103710124677,0691030,12912,Closed,San Diego,San Diego County Office of Education,East Region Community School of Greater El Cajon,8374 Hercules Street,8374 Hercules St.,La Mesa,91942-2901,CA,8374 Hercules Street,8374 Hercules St.,La Mesa,91942-2901,CA,No Data,No Data,No Data,Information Not Available,2011-07-01 00:00:00,2013-01-18 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,7-12,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2013-02-25,No Data
37103710124685,0691030,12873,Closed,San Diego,San Diego County Office of Education,East Region Community School of Greater La Mesa,8374 Hercules Street,8374 Hercules St.,La Mesa,91942-2901,CA,8374 Hercules Street,8374 Hercules St.,La Mesa,91942-2901,CA,No Data,No Data,No Data,Information Not Available,2011-07-01 00:00:00,2013-01-18 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,8-12,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,2013-02-25,No Data
37103710124693,0691030,12933,Closed,San Diego,San Diego County Office of Education,North Region Community School of Greater Escondido,"255 Pico Avenue, Suite 101","255 Pico Ave., Ste. 101",San Marcos,92069-3711,CA,"255 Pico Avenue, Suite 101","255 Pico Ave., Ste. 101",San Marcos,92069-3711,CA,No Data,No Data,No Data,Information Not Available,2011-07-01 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,8-12,No Data,No Data,N,No Data,33.142395,-117.16517,No Data,No Data,2013-07-15,No Data
